year,date,median,low,high
2019,2020/11/24,9,0,73
2019,2020/11/25,16,0,71
2019,2020/11/26,17,0,74
2019,2020/11/27,17,0,86
2019,2020/11/28,6,0,60
2019,2020/11/29,15,0,179
2019,2020/11/30,14,0,119
2019,2020/12/1,8,0,70
2019,2020/12/2,14,0,64
2019,2020/12/3,15,0,72
2019,2020/12/4,16,0,73
2019,2020/12/5,18,0,73
2019,2020/12/6,18,0,90
2019,2020/12/7,15,0,118
2019,2020/12/8,9,0,89
2019,2020/12/9,14,0,69
2019,2020/12/10,16,0,74
2019,2020/12/11,16,0,79
2019,2020/12/12,17,0,87
2019,2020/12/13,20,0,99
2019,2020/12/14,14,0,133
2019,2020/12/15,11,0,113
2019,2020/12/16,17,0,89
2019,2020/12/17,13,0,82
2019,2020/12/18,17,0,103
2019,2020/12/19,16,0,107
2019,2020/12/20,19,0,118
2019,2020/12/21,13,0,159
2019,2020/12/22,13,0,146
2019,2020/12/23,20,0,151
2019,2020/12/24,16,0,111
2019,2020/12/25,3,0,18
2019,2020/12/26,15,0,108
2019,2020/12/27,16,0,101
2019,2020/12/28,13,0,107
2019,2020/12/29,10,0,85
2019,2020/12/30,14,0,89
2019,2020/12/31,15,0,72
2020,2020/1/6,16,0,68
2020,2020/1/7,17,0,69
2020,2020/1/8,17,0,69
2020,2020/1/9,17,0,73
2020,2020/1/10,18,0,82
2020,2020/1/11,16,0,98
2020,2020/1/12,10,0,76
2020,2020/1/13,15,0,68
2020,2020/1/14,15,0,66
2020,2020/1/15,16,0,73
2020,2020/1/16,15,0,70
2020,2020/1/17,14,0,74
2020,2020/1/18,12,0,74
2020,2020/1/19,9,0,72
2020,2020/1/20,11,0,75
2020,2020/1/21,14,0,57
2020,2020/1/22,15,0,66
2020,2020/1/23,16,0,62
2020,2020/1/24,17,0,76
2020,2020/1/25,10,0,69
2020,2020/1/26,9,0,70
2020,2020/1/27,15,0,58
2020,2020/1/28,13,0,67
2020,2020/1/29,14,0,71
2020,2020/1/30,15,0,73
2020,2020/1/31,18,0,93
2020,2020/2/1,15,0,95
2020,2020/2/2,8,0,68
2020,2020/2/3,16,0,69
2020,2020/2/4,15,0,71
2020,2020/2/5,14,0,85
2020,2020/2/6,14,0,71
2020,2020/2/7,16,0,94
2020,2020/2/8,14,0,106
2020,2020/2/9,11,0,89
2020,2020/2/10,16,0,80
2020,2020/2/11,15,0,88
2020,2020/2/12,16,0,86
2020,2020/2/13,15,0,103
2020,2020/2/14,17,0,101
2020,2020/2/15,12,0,106
2020,2020/2/16,10,0,98
2020,2020/2/17,11,0,97
2020,2020/2/18,14,0,90
2020,2020/2/19,15,0,99
2020,2020/2/20,15,0,91
2020,2020/2/21,14,0,95
2020,2020/2/22,11,0,106
2020,2020/2/23,10,0,73
2020,2020/2/24,14,0,66
2020,2020/2/25,10,0,44
2020,2020/2/26,15,0,69
2020,2020/2/27,16,0,74
2020,2020/2/28,15,0,82
2020,2020/2/29,12,0,99
2020,2020/3/1,8,0,73
2020,2020/3/2,13,0,67
2020,2020/3/3,14,0,68
2020,2020/3/4,14,0,65
2020,2020/3/5,13,0,67
2020,2020/3/6,15,0,79
2020,2020/3/7,12,0,99
2020,2020/3/8,8,0,70
2020,2020/3/9,13,0,67
2020,2020/3/10,13,0,61
2020,2020/3/11,12,0,61
2020,2020/3/12,13,0,67
2020,2020/3/13,14,0,71
2020,2020/3/14,9,0,65
2020,2020/3/15,5,0,50
2020,2020/3/16,8,0,44
2020,2020/3/17,6,0,36
2020,2020/3/18,6,0,36
2020,2020/3/19,5,0,31
2020,2020/3/20,4,0,26
2020,2020/3/21,2,0,21
2020,2020/3/22,2,0,26
2020,2020/3/23,3,0,19
2020,2020/3/24,3,0,23
2020,2020/3/25,3,0,31
2020,2020/3/26,2,0,22
2020,2020/3/27,2,0,24
2020,2020/3/28,1,0,25
2020,2020/3/29,1,0,22
2020,2020/3/30,2,0,19
2020,2020/3/31,2,0,18
2020,2020/4/1,2,0,20
2020,2020/4/2,2,0,22
2020,2020/4/3,2,0,26
2020,2020/4/4,1,0,24
2020,2020/4/5,1,0,20
2020,2020/4/6,2,0,19
2020,2020/4/7,2,0,20
2020,2020/4/8,2,0,23
2020,2020/4/9,1,0,21
2020,2020/4/10,2,0,23
2020,2020/4/11,1,0,24
2020,2020/4/12,1,0,6
2020,2020/4/13,1,0,15
2020,2020/4/14,2,0,22
2020,2020/4/15,2,0,24
2020,2020/4/16,2,0,23
2020,2020/4/17,2,0,24
2020,2020/4/18,1,0,20
2020,2020/4/19,2,0,17
2020,2020/4/20,2,0,17
2020,2020/4/21,2,0,20
2020,2020/4/22,2,0,21
2020,2020/4/23,2,0,23
2020,2020/4/24,2,0,23
2020,2020/4/25,2,0,25
2020,2020/4/26,1,0,20
2020,2020/4/27,2,0,25
2020,2020/4/28,3,0,24
2020,2020/4/29,2,0,22
2020,2020/4/30,2,0,20
2020,2020/5/1,3,0,26
2020,2020/5/2,2,0,24
2020,2020/5/3,2,0,21
2020,2020/5/4,2,0,23
2020,2020/5/5,3,0,23
2020,2020/5/6,2,0,22
2020,2020/5/7,3,0,23
2020,2020/5/8,3,0,24
2020,2020/5/9,2,0,24
2020,2020/5/10,2,0,22
2020,2020/5/11,3,0,23
2020,2020/5/12,3,0,23
2020,2020/5/13,3,0,24
2020,2020/5/14,3,0,24
2020,2020/5/15,3,0,24
2020,2020/5/16,2,0,25
2020,2020/5/17,1,0,23
2020,2020/5/18,3,0,36
2020,2020/5/19,3,0,29
2020,2020/5/20,3,0,25
2020,2020/5/21,3,0,29
2020,2020/5/22,4,0,28
2020,2020/5/23,2,0,25
2020,2020/5/24,2,0,26
2020,2020/5/25,2,0,22
2020,2020/5/26,3,0,23
2020,2020/5/27,3,0,24
2020,2020/5/28,3,0,26
2020,2020/5/29,4,0,27
2020,2020/5/30,3,0,25
2020,2020/5/31,2,0,23
2020,2020/6/1,4,0,25
2020,2020/6/2,4,0,22
2020,2020/6/3,3,0,23
2020,2020/6/4,4,0,23
2020,2020/6/5,3,0,23
2020,2020/6/6,3,0,23
2020,2020/6/7,2,0,22
2020,2020/6/8,4,0,33
2020,2020/6/9,4,0,31
2020,2020/6/10,5,0,34
2020,2020/6/11,4,0,34
2020,2020/6/12,4,0,30
2020,2020/6/13,3,0,32
2020,2020/6/14,2,0,29
2020,2020/6/15,4,0,31
2020,2020/6/16,4,0,31
2020,2020/6/17,5,0,31
2020,2020/6/18,4,0,34
2020,2020/6/19,4,0,34
2020,2020/6/20,3,0,36
2020,2020/6/21,2,0,25
2020,2020/6/22,6,0,36
2020,2020/6/23,6,0,33
2020,2020/6/24,6,0,38
2020,2020/6/25,5,0,34
2020,2020/6/26,6,0,38
2020,2020/6/27,4,0,39
2020,2020/6/28,3,0,36
2020,2020/6/29,5,0,36
2020,2020/6/30,6,0,39
2020,2020/7/1,6,0,39
2020,2020/7/2,6,0,38
2020,2020/7/3,5,0,45
2020,2020/7/4,3,0,30
2020,2020/7/5,5,0,33
2020,2020/7/6,6,0,34
2020,2020/7/7,7,0,40
2020,2020/7/8,7,0,37
2020,2020/7/9,6,0,38
2020,2020/7/10,5,0,31
2020,2020/7/11,5,0,46
2020,2020/7/12,4,0,36
2020,2020/7/13,6,0,40
2020,2020/7/14,7,0,37
2020,2020/7/15,7,0,38
2020,2020/7/16,7,0,38
2020,2020/7/17,7,0,45
2020,2020/7/18,4,0,37
2020,2020/7/19,3,0,31
2020,2020/7/20,6,0,36
2020,2020/7/21,6,0,37
2020,2020/7/22,6,0,38
2020,2020/7/23,8,0,42
2020,2020/7/24,7,0,44
2020,2020/7/25,5,0,42
2020,2020/7/26,5,0,38
2020,2020/7/27,6,0,35
2020,2020/7/28,8,0,41
2020,2020/7/29,7,0,41
2020,2020/7/30,7,0,40
2020,2020/7/31,7,0,43
2020,2020/8/1,5,0,43
2020,2020/8/2,4,0,38
2020,2020/8/3,7,0,40
2020,2020/8/4,7,0,29
2020,2020/8/5,7,0,40
2020,2020/8/6,7,0,40
2020,2020/8/7,7,0,43
2020,2020/8/8,6,0,44
2020,2020/8/9,5,0,35
2020,2020/8/10,6,0,36
2020,2020/8/11,7,0,36
2020,2020/8/12,7,0,42
2020,2020/8/13,7,0,41
2020,2020/8/14,6,0,42
2020,2020/8/15,5,0,40
2020,2020/8/16,4,0,38
2020,2020/8/17,5,0,36
2020,2020/8/18,7,0,39
2020,2020/8/19,6,0,37
2020,2020/8/20,8,0,43
2020,2020/8/21,8,0,47
2020,2020/8/22,6,0,43
2020,2020/8/23,4,0,41
2020,2020/8/24,7,0,38
2020,2020/8/25,7,0,38
2020,2020/8/26,7,0,38
2020,2020/8/27,7,0,37
2020,2020/8/28,6,0,34
2020,2020/8/29,5,0,45
2020,2020/8/30,4,0,36
2020,2020/8/31,7,0,36
2020,2020/9/1,7,0,37
2020,2020/9/2,7,0,39
2020,2020/9/3,7,0,38
2020,2020/9/4,7,0,42
2020,2020/9/5,6,0,43
2020,2020/9/6,4,0,34
2020,2020/9/7,4,0,39
2020,2020/9/8,8,0,37
2020,2020/9/9,8,0,42
2020,2020/9/10,7,0,41
2020,2020/9/11,7,0,46
2020,2020/9/12,7,0,53
2020,2020/9/13,5,0,44
2020,2020/9/14,6,0,41
2020,2020/9/15,7,0,40
2020,2020/9/16,7,0,40
2020,2020/9/17,7,0,38
2020,2020/9/18,7,0,41
2020,2020/9/19,6,0,55
2020,2020/9/20,4,0,41
2020,2020/9/21,6,0,33
2020,2020/9/22,7,0,35
2020,2020/9/23,8,0,40
2020,2020/9/24,8,0,40
2020,2020/9/25,9,0,48
2020,2020/9/26,6,0,56
2020,2020/9/27,5,0,46
2020,2020/9/28,5,0,45
2020,2020/9/29,6,0,35
2020,2020/9/30,7,0,38
2020,2020/10/1,7,0,40
2020,2020/10/2,7,0,43
2020,2020/10/3,7,0,58
2020,2020/10/4,4,0,42
2020,2020/10/5,7,0,37
2020,2020/10/6,8,0,37
2020,2020/10/7,8,0,38
2020,2020/10/8,8,0,40
2020,2020/10/9,7,0,44
2020,2020/10/10,7,0,55
2020,2020/10/11,6,0,47
2020,2020/10/12,4,0,39
2020,2020/10/13,7,0,35
